Sample name	Group	Hemisphere	Sex	Injury
C_F_S_72	C_F_S	Contralateral	Female	Sham
C_F_S_73	C_F_S	Contralateral	Female	Sham
C_F_S_74	C_F_S	Contralateral	Female	Sham
C_F_S_77	C_F_S	Contralateral	Female	Sham
C_F_S_79	C_F_S	Contralateral	Female	Sham
C_F_T_71	C_F_T	Contralateral	Female	TBI
C_F_T_75	C_F_T	Contralateral	Female	TBI
C_F_T_76	C_F_T	Contralateral	Female	TBI
C_F_T_78	C_F_T	Contralateral	Female	TBI
C_F_T_80	C_F_T	Contralateral	Female	TBI
C_M_S_62	C_M_S	Contralateral	Male	Sham
C_M_S_66	C_M_S	Contralateral	Male	Sham
C_M_S_68	C_M_S	Contralateral	Male	Sham
C_M_S_69	C_M_S	Contralateral	Male	Sham
C_M_T_61	C_M_T	Contralateral	Male	TBI
C_M_T_64	C_M_T	Contralateral	Male	TBI
C_M_T_65	C_M_T	Contralateral	Male	TBI
C_M_T_67	C_M_T	Contralateral	Male	TBI
C_M_T_70	C_M_T	Contralateral	Male	TBI
I_F_S_72	I_F_S	Ipsilateral	Female	Sham
I_F_S_73	I_F_S	Ipsilateral	Female	Sham
I_F_S_74	I_F_S	Ipsilateral	Female	Sham
I_F_S_77	I_F_S	Ipsilateral	Female	Sham
I_F_S_79	I_F_S	Ipsilateral	Female	Sham
I_F_T_71	I_F_T	Ipsilateral	Female	TBI
I_F_T_75	I_F_T	Ipsilateral	Female	TBI
I_F_T_76	I_F_T	Ipsilateral	Female	TBI
I_F_T_78	I_F_T	Ipsilateral	Female	TBI
I_F_T_80	I_F_T	Ipsilateral	Female	TBI
I_M_S_62	I_M_S	Ipsilateral	Male	Sham
I_M_S_66	I_M_S	Ipsilateral	Male	Sham
I_M_S_68	I_M_S	Ipsilateral	Male	Sham
I_M_S_69	I_M_S	Ipsilateral	Male	Sham
I_M_T_61	I_M_T	Ipsilateral	Male	TBI
I_M_T_64	I_M_T	Ipsilateral	Male	TBI
I_M_T_65	I_M_T	Ipsilateral	Male	TBI
I_M_T_67	I_M_T	Ipsilateral	Male	TBI
I_M_T_70	I_M_T	Ipsilateral	Male	TBI
C_M_S_63	C_M_S	Contralateral	Male	Sham
I_M_S_63	I_M_S	Ipsilateral	Male	Sham
